Type	Score	Reason for death	Moves	Snake Length	Turns
 A* 	0	 Hit the wall	12	1	13
 A* 	69	 No path found	1211	70	187
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	54	 No path found	936	55	132
 A* 	54	 No path found	885	55	139
 A* 	93	 No path found	1668	94	287
 A* 	59	 No path found	994	60	145
 A* 	87	 No path found	1702	88	256
 A* 	0	 Hit the wall	12	1	13
 A* 	68	 No path found	1246	69	198
 A* 	63	 No path found	1228	64	182
 A* 	0	 Hit the wall	12	1	13
 A* 	59	 No path found	1230	60	174
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	80	 No path found	1444	81	235
 A* 	70	 No path found	1190	71	194
 A* 	59	 No path found	1086	60	152
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	60	 No path found	1097	61	169
 A* 	88	 No path found	1643	89	250
 A* 	70	 No path found	1252	71	195
 A* 	72	 No path found	1394	73	220
 A* 	87	 No path found	1684	88	263
 A* 	57	 No path found	1082	58	148
 A* 	33	 No path found	576	34	81
 A* 	70	 No path found	1179	71	184
 A* 	73	 No path found	1415	74	196
 A* 	56	 No path found	1086	57	173
 A* 	43	 No path found	769	44	109
 A* 	59	 No path found	985	60	162
 A* 	110	 No path found	1976	111	292
 A* 	0	 Hit the wall	12	1	13
 A* 	56	 No path found	1006	57	141
 A* 	86	 No path found	1604	87	243
 A* 	79	 No path found	1355	80	210
 A* 	0	 Hit the wall	12	1	13
 A* 	65	 No path found	1163	66	181
 A* 	48	 No path found	913	49	125
 A* 	74	 No path found	1337	75	196
 A* 	54	 No path found	831	55	149
 A* 	93	 No path found	1894	94	299
 A* 	0	 Hit the wall	12	1	13
 A* 	52	 No path found	1032	53	144
 A* 	54	 No path found	866	55	143
 A* 	90	 No path found	1648	91	291
 A* 	66	 No path found	1282	67	195
 A* 	70	 No path found	1332	71	186
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	63	 No path found	1155	64	160
 A* 	62	 No path found	1230	63	181
 A* 	86	 No path found	1617	87	251
 A* 	28	 No path found	429	29	75
 A* 	0	 Hit the wall	12	1	13
 A* 	68	 No path found	1212	69	204
 A* 	0	 Hit the wall	12	1	13
 A* 	58	 No path found	967	59	168
 A* 	70	 No path found	1326	71	194
 A* 	0	 Hit the wall	12	1	13
 A* 	91	 No path found	1662	92	249
 A* 	0	 Hit the wall	12	1	13
 A* 	47	 No path found	772	48	140
 A* 	71	 No path found	1197	72	198
 A* 	54	 No path found	1042	55	144
 A* 	64	 No path found	1240	65	183
 A* 	44	 No path found	880	45	120
 A* 	100	 No path found	1689	101	309
 A* 	83	 No path found	1657	84	265
 A* 	36	 No path found	733	37	85
 A* 	0	 Hit the wall	12	1	13
 A* 	71	 No path found	1262	72	189
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	40	 No path found	636	41	110
 A* 	65	 No path found	1227	66	168
 A* 	0	 Hit the wall	12	1	13
 A* 	67	 No path found	1158	68	169
 A* 	63	 No path found	1057	64	168
 A* 	93	 No path found	1700	94	263
 A* 	97	 No path found	1928	98	295
 A* 	67	 No path found	1221	68	171
 A* 	90	 No path found	1802	91	300
 A* 	54	 No path found	838	55	132
 A* 	77	 No path found	1361	78	235
 A* 	67	 No path found	1209	68	182
 A* 	79	 No path found	1371	80	181
 A* 	88	 No path found	1615	89	259
 A* 	55	 No path found	1040	56	140
 A* 	50	 No path found	931	51	133
 A* 	76	 No path found	1386	77	216
 A* 	94	 No path found	1736	95	293
 A* 	0	 Hit the wall	12	1	13
 A* 	82	 No path found	1685	83	235
 A* 	43	 No path found	746	44	118
 A* 	40	 No path found	785	41	112
 A* 	46	 No path found	723	47	122
 A* 	73	 No path found	1370	74	187
 A* 	65	 No path found	1122	66	171
 A* 	56	 No path found	1009	57	133
 A* 	50	 No path found	904	51	146
 A* 	81	 No path found	1421	82	232
 A* 	37	 No path found	537	38	84
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	43	 No path found	744	44	114
 A* 	0	 Hit the wall	12	1	13
 A* 	54	 No path found	1025	55	142
 A* 	34	 No path found	599	35	84
 A* 	66	 No path found	1219	67	210
 A* 	51	 No path found	904	52	141
 A* 	51	 No path found	998	52	154
 A* 	69	 No path found	1235	70	176
 A* 	39	 No path found	825	40	99
 A* 	0	 Hit the wall	12	1	13
 A* 	89	 No path found	1656	90	273
 A* 	63	 No path found	1061	64	183
 A* 	0	 Hit the wall	12	1	13
 A* 	52	 No path found	992	53	127
 A* 	92	 No path found	1800	93	292
 A* 	65	 No path found	1161	66	192
 A* 	69	 No path found	1085	70	186
 A* 	52	 No path found	991	53	137
 A* 	74	 No path found	1496	75	222
 A* 	32	 No path found	464	33	72
 A* 	75	 No path found	1313	76	221
 A* 	49	 No path found	950	50	127
 A* 	62	 No path found	1102	63	178
 A* 	47	 No path found	786	48	118
 A* 	72	 No path found	1443	73	205
 A* 	86	 No path found	1485	87	251
 A* 	86	 No path found	1596	87	250
 A* 	86	 No path found	1649	87	259
 A* 	51	 No path found	966	52	129
 A* 	0	 Hit the wall	12	1	13
 A* 	60	 No path found	897	61	161
 A* 	62	 No path found	1085	63	175
 A* 	47	 No path found	878	48	122
 A* 	45	 No path found	687	46	112
 A* 	0	 Hit the wall	12	1	13
 A* 	91	 No path found	1603	92	243
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	68	 No path found	1206	69	186
 A* 	46	 No path found	861	47	113
 A* 	65	 No path found	1123	66	210
 A* 	38	 No path found	651	39	107
 A* 	0	 Hit the wall	12	1	13
 A* 	114	 No path found	2451	115	394
 A* 	63	 No path found	1159	64	190
 A* 	69	 No path found	1293	70	207
 A* 	54	 No path found	956	55	158
 A* 	97	 No path found	1800	98	276
 A* 	64	 No path found	1085	65	179
 A* 	67	 No path found	1278	68	210
 A* 	0	 Hit the wall	12	1	13
 A* 	74	 No path found	1303	75	198
 A* 	49	 No path found	775	50	114
 A* 	61	 No path found	1053	62	150
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
